delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
80.60839618,114.8441058,92.21341475,218.8524698,0.421349665,0.524755813,0.368322991,1.245416473,0.87415043,0.628331526
98.19208914,113.826928,96.17024776,237.5507857,0.40484079,0.479168813,0.413351986,1.183598157,1.021023564,0.635318113
71.19831714,66.92845635,76.12464943,179.212579,0.424772914,0.373458474,0.39728415,0.879195594,0.935285977,0.540958223
121.4744805,138.5870333,126.638342,256.033816,0.494615688,0.541284098,0.474447018,1.094352872,0.959223554,0.679593507
127.4273547,141.5386344,117.4447645,246.4994317,0.476450447,0.574194567,0.516947864,1.205150651,1.084998172,0.739030852
134.0865982,101.9089279,79.63220387,207.6903246,0.383417976,0.490677301,0.645608304,1.279745165,1.683823776,0.821361024
76.67370378,71.38071065,88.22907467,216.6316721,0.407276894,0.329502653,0.353935798,0.809038414,0.869029898,0.48564604
91.15343745,111.6003539,123.272734,215.0305082,0.573280206,0.518997768,0.423909324,0.905312555,0.739445248,0.599325593
117.7536452,126.9231215,128.3924153,249.89915,0.513776919,0.507897372,0.471204665,0.988556226,0.91713864,0.646794138
107.9613887,166.0694162,158.1913601,227.0855837,0.6966156,0.731307613,0.475421587,1.049800798,0.682473357,0.711256693
110.7864243,129.0427192,114.4880377,220.440603,0.519360028,0.585385439,0.502568142,1.127128403,0.96766812,0.716060421
97.82764509,125.2781614,107.1867132,208.284772,0.514616178,0.601475375,0.469682177,1.168784429,0.912684438,0.707213859
100.1521063,91.02602482,97.19831732,220.368,0.441072739,0.413063715,0.454476632,0.936497949,1.030389302,0.602010102
128.53151,136.2008966,121.0696427,212.3125018,0.570242646,0.64151143,0.605388326,1.124979752,1.061632852,0.79408094
78.86996239,92.85604263,75.70514256,189.870465,0.398719951,0.48904943,0.415388262,1.226548679,1.041804555,0.646618139
95.8983681,90.24458803,90.53609979,183.3701161,0.493734212,0.492144467,0.522977081,0.99678016,1.059227958,0.679586462
138.8972394,117.8051381,97.02172821,181.2529487,0.535283585,0.649948809,0.76631713,1.214213973,1.431609619,0.922478395
78.20023897,72.81180502,77.50070719,184.3904234,0.420307659,0.394878452,0.424101412,0.939498588,1.009026134,0.576621452
70.60272187,111.7932637,86.46718141,183.6031094,0.470946171,0.60888546,0.384539903,1.292898206,0.816526232,0.675364865
97.2551944,95.79085507,66.5036818,195.8450016,0.339573036,0.489115649,0.496592681,1.440384238,1.46240316,0.735837691
57.50474299,68.51412122,63.27889257,141.6263621,0.446801652,0.483766724,0.40603135,1.082732621,0.90875078,0.615010407
75.0725344,83.70686146,90.25806332,187.7896634,0.48063382,0.445747971,0.399769258,0.927416991,0.831754324,0.571050869
77.45378457,105.5787057,100.5102895,206.0806072,0.487723182,0.512317521,0.37584218,1.05042684,0.770605527,0.59699258
82.46020073,77.06668819,76.64077313,192.7573459,0.397602347,0.399811939,0.427792779,1.005557291,1.075931223,0.592160367
64.97357088,83.34827161,78.49691312,188.0220938,0.417487709,0.443289775,0.34556349,1.061803175,0.82772135,0.556515065
71.55950341,82.7103859,78.88117247,183.1500972,0.430691404,0.451598919,0.390715072,1.048544073,0.907181032,0.588746104
70.78913856,94.8862384,86.49234802,193.8052119,0.446284943,0.489595907,0.36525921,1.09704778,0.818443945,0.591069637
84.78041818,75.70103363,75.12039805,158.4291746,0.474157606,0.477822559,0.535131351,1.0077294,1.128593836,0.68714085
61.23494759,74.11241908,76.6190088,161.8240392,0.473471118,0.457981518,0.378404518,0.967285015,0.799213518,0.567629745
153.7952493,94.49483351,75.67568006,173.0494287,0.437306732,0.546056894,0.888735955,1.248681656,2.032294248,0.998250977
53.34517975,77.14820979,79.13721678,164.7705807,0.480287297,0.468215925,0.323754274,0.974866352,0.674084608,0.535011143
88.96382017,103.6903001,97.02424143,225.8807259,0.429537496,0.459048906,0.393853082,1.068705085,0.916923635,0.596627924
79.55222493,54.32769101,71.93897353,134.6266075,0.534359254,0.40354349,0.590910121,0.755191356,1.105829303,0.648123058
71.07284087,68.4999125,66.88051964,182.4045183,0.366660433,0.375538463,0.389644081,1.024213222,1.062683742,0.55989222
118.4766795,91.52514604,86.30884852,182.0096458,0.47419931,0.502858767,0.650936268,1.060437575,1.372706061,0.78265878
91.18210406,129.0719519,117.3442597,197.4339275,0.594346986,0.653747578,0.461836044,1.099942615,0.777047844,0.69971194
97.52007419,105.4162543,109.64316,190.315269,0.576113312,0.553903293,0.512413296,0.961448523,0.889431445,0.676548178
88.91240328,102.9002932,92.35866387,208.3976866,0.443184689,0.493768884,0.426647746,1.114137958,0.962686115,0.637767735
193.3885995,148.4267563,98.19028766,196.4053656,0.49993689,0.755716402,0.984640103,1.511623601,1.969528801,1.160286488
88.92106182,82.08922574,97.35852516,196.0342492,0.496640386,0.418749408,0.453599624,0.843164228,0.913336163,0.582871504
66.65208179,62.13562056,57.62867355,143.9329885,0.400385444,0.431698259,0.463077176,1.078206676,1.156578448,0.638949397
65.24430082,66.52127034,51.87795934,154.5278416,0.335719174,0.430480809,0.422217124,1.282264591,1.257649716,0.638381143
92.83763115,80.99379866,66.06604732,164.6382163,0.401280145,0.491950171,0.563888708,1.225951937,1.405224543,0.753481653
120.5018319,154.8623079,104.3087887,185.130865,0.56343273,0.836501832,0.65090082,1.484652537,1.155241407,0.95136978
110.5843309,126.1729113,98.30208759,209.6655163,0.468851957,0.601781893,0.527432135,1.283522196,1.124943871,0.768773206
142.5540701,104.9861943,96.30367509,180.9150816,0.532314245,0.580306481,0.78796123,1.090157714,1.480255764,0.892941976
77.44473035,78.47196771,75.37732047,162.7495274,0.463149244,0.482164028,0.47585226,1.041055416,1.027427479,0.654763205
87.75363282,109.6803213,106.8420327,195.0891333,0.547657529,0.562206205,0.449813023,1.026565281,0.821339978,0.653903857
127.0313324,102.8551443,91.77803584,252.4335508,0.363573049,0.407454334,0.503226818,1.120694547,1.384114742,0.667863854
123.7158177,156.6816964,127.6693805,283.4470921,0.45041697,0.552772284,0.436468819,1.227245686,0.969032803,0.682039113
177.2027822,155.3757469,125.6473593,227.4407188,0.552440038,0.683148329,0.779116348,1.23660177,1.410318396,0.941913787
72.41008373,59.20889932,101.8345611,173.8017212,0.585923778,0.340669235,0.416624664,0.581422443,0.711056079,0.477509644
129.0268023,192.291087,153.7207778,325.8846064,0.471703096,0.590058822,0.395927883,1.250911488,0.839358245,0.669963057
107.4367357,116.5326537,105.1770834,214.6199073,0.490062104,0.542972249,0.500590728,1.107966203,1.021484265,0.700348646
61.7142004,71.70495754,66.02731788,160.3457962,0.411780785,0.447189507,0.384881936,1.085989252,0.934676773,0.589377226
64.42121989,85.82607181,69.01045866,147.5638626,0.467665033,0.581619851,0.436565015,1.243667605,0.933499373,0.69374472
107.030696,97.801979,82.02055235,210.4438031,0.389750381,0.464741549,0.508595142,1.192408198,1.304925325,0.700367997
71.34788142,100.2375583,101.1226414,202.6428109,0.499019141,0.49465144,0.352086911,0.991247429,0.705557929,0.564861601
87.41226768,113.5377427,112.2780135,219.2876919,0.512012382,0.517757024,0.398619124,1.011219732,0.778534149,0.606063918
60.88886724,82.93365443,71.36075033,163.8044464,0.435645991,0.506296723,0.371716816,1.162174641,0.853254302,0.611580811
156.7147405,96.93109216,89.53618368,186.5309937,0.480007005,0.519651401,0.840153893,1.082591285,1.750295065,0.918783012
